ID,Type,State,CreatedDate,StartDate,ClosedDate,Tag,SprintNumberCreated,SprintNumberStarted,SprintNumberClosed,DayInSprintClosed,WeekCreated,WeekStarted,WeekClosed,MonthCreated,MonthStarted,MonthClosed,YearClosed,NumOfChildItems,LeadSprints,CycleSprints,LeadDays,CycleDays,LeadWeeks,CycleWeeks,LeadMonths,CycleMonths
5208,Feature,Done,2018-07-30,,2021-04-08,,-1,-1,-1,-1,31,-1,15,7,-1,4,2021,3,-1,-1,983,-1,140,-1,32,-1
5212,Feature,Done,2018-07-30,,2021-09-20,,-1,-1,-1,-1,31,-1,39,7,-1,9,2021,5,-1,-1,1148,-1,164,-1,38,-1
5221,Feature,Done,2018-07-30,,2021-04-08,,-1,-1,-1,-1,31,-1,15,7,-1,4,2021,2,-1,-1,983,-1,140,-1,32,-1
9823,Feature,Done,2019-04-29,,2021-04-08,,-1,-1,-1,-1,18,-1,15,4,-1,4,2021,2,-1,-1,710,-1,101,-1,23,-1
12898,Feature,New,2019-10-10,,,,-1,-1,-1,-1,41,-1,-1,10,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1
27004,Feature,In Progress,2021-04-09,2021-09-20,,,-1,-1,-1,-1,15,39,-1,4,9,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1
28003,Feature,New,2021-05-04,,,Maintenance,-1,-1,-1,-1,19,-1,-1,5,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1
28004,Feature,New,2021-05-04,,,Maintenance,-1,-1,-1,-1,19,-1,-1,5,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1
31059,Feature,New,2021-09-13,,,,-1,-1,-1,-1,38,-1,-1,9,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
31748,Feature,Done,2021-10-13,2022-01-19,2022-03-11,,-1,3,6,10,42,4,11,10,1,3,2022,9,-1,3,149,98,21,14,5,3
32350,Feature,Done,2021-11-10,2021-12-08,2022-03-16,Maintenance,-1,-1,7,1,46,50,12,11,12,3,2022,28,-1,-1,126,28,18,4,4,1
32548,Feature,New,2021-11-22,,,,-1,-1,-1,-1,48,-1,-1,11,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
32646,Feature,New,2021-11-25,,,,-1,-1,-1,-1,48,-1,-1,11,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1
32659,Feature,Done,2021-11-26,2022-01-04,2022-03-11,,-1,1,6,10,48,2,11,11,1,3,2022,3,-1,5,105,39,15,5,3,1
32667,Feature,Done,2021-11-29,2022-03-21,2022-05-20,,-1,7,11,10,49,13,21,11,3,5,2022,2,-1,4,172,112,24,16,6,4
32893,Feature,Done,2021-12-02,2022-04-11,2022-05-06,,-1,8,10,10,49,16,19,12,4,5,2022,1,-1,2,155,130,22,18,5,4
32940,Feature,Done,2021-12-06,2022-03-21,2022-05-20,,-1,7,11,10,50,13,21,12,3,5,2022,5,-1,4,165,105,23,15,5,3
32953,Feature,In Progress,2021-12-07,2022-02-24,,Maintenance,-1,5,-1,-1,50,9,-1,12,2,-1,-1,37,-1,-1,-1,-1,-1,-1,-1,-1
32995,Feature,Done,2021-12-08,2021-12-08,2022-03-16,,-1,-1,7,1,50,50,12,12,12,3,2022,6,-1,-1,98,0,14,0,3,0
33007,Feature,Done,2021-12-08,2022-01-04,2022-03-11,Maintenance,-1,1,6,10,50,2,11,12,1,3,2022,8,-1,5,93,27,13,3,3,1
33008,Feature,Done,2021-12-08,2021-12-16,2022-03-21,Maintenance,-1,-1,7,6,50,51,13,12,12,3,2022,30,-1,-1,103,8,14,1,3,0
33009,Feature,Done,2021-12-08,2022-01-04,2022-03-11,Maintenance,-1,1,6,10,50,2,11,12,1,3,2022,1,-1,5,93,27,13,3,3,1
33010,Feature,Done,2021-12-08,2022-01-04,2022-03-11,Maintenance,-1,1,6,10,50,2,11,12,1,3,2022,6,-1,5,93,27,13,3,3,1
33011,Feature,Done,2021-12-08,2022-01-04,2022-03-11,Maintenance,-1,1,6,10,50,2,11,12,1,3,2022,1,-1,5,93,27,13,3,3,1
