ID,Type,State,EstimatedEffort,CreatedDate,StartDate,ClosedDate,FeatureID,SprintNumberCreated,SprintNumberStarted,SprintNumberClosed,DayInSprintClosed,WeekCreated,WeekStarted,WeekClosed,MonthCreated,MonthStarted,MonthClosed,YearClosed,FeatureExists,LeadSprints,CycleSprints,LeadDays,CycleDays,LeadWeeks,CycleWeeks,LeadMonths,CycleMonths,CycleEfficiencyDays
33476,Story,Done,2,2021-12-22,2022-01-19,2022-03-04,32659,1,3,6,3,52,4,10,12,1,3,2022,1,5,3,72,44,10,6,2,1,61%
33484,Story,Done,0,2021-12-22,,2022-01-05,32350,1,-1,2,1,52,-1,2,12,-1,1,2022,1,1,-1,14,-1,2,-1,0,-1,-100%
33491,Bug,Done,1,2021-12-22,2022-01-19,2022-02-14,33008,1,3,4,13,52,4,8,12,1,2,2022,1,3,1,54,26,7,3,2,1,48%
33505,Story,Done,1,2021-12-22,2022-06-22,2022-08-24,32953,1,14,18,8,52,26,35,12,6,8,2022,1,17,4,245,63,35,9,8,2,26%
33513,Bug,Done,0,2021-12-23,2021-12-31,2021-12-31,33010,1,1,1,10,52,53,53,12,12,12,2021,1,0,0,8,0,1,0,0,0,-100%
33524,Bug,Done,0,2021-12-23,2021-12-23,2021-12-23,32350,1,1,1,2,52,52,52,12,12,12,2021,1,0,0,0,0,0,0,0,0,-100%
33537,Story,Done,5,2021-12-23,2022-01-11,2022-03-07,27004,1,2,6,6,52,3,11,12,1,3,2022,1,5,4,74,55,10,7,2,2,74%
33542,Story,Done,2,2021-12-23,2022-07-06,2022-09-29,27004,1,15,21,2,52,28,40,12,7,9,2022,1,20,6,280,85,40,12,9,3,30%
33546,Bug,Done,0,2021-12-24,2022-05-25,2022-05-27,35625,1,12,12,3,52,22,22,12,5,5,2022,1,11,0,154,2,22,0,5,0,1%
33562,Bug,Done,0,2021-12-27,2022-01-04,2022-02-25,33008,1,1,5,10,53,2,9,12,1,2,2022,1,4,4,60,52,8,7,2,2,87%
33563,Bug,Done,0,2021-12-27,2021-12-30,2022-02-25,33008,1,1,5,10,53,53,9,12,12,2,2022,1,4,4,60,57,8,8,2,2,95%
33564,Bug,Done,0,2021-12-27,2021-12-30,2022-02-25,33009,1,1,5,10,53,53,9,12,12,2,2022,1,4,4,60,57,8,8,2,2,95%
33565,Bug,Done,1,2021-12-27,2022-02-09,2022-02-10,33013,1,4,4,9,53,7,7,12,2,2,2022,1,3,0,45,1,6,0,1,0,2%
33571,Bug,Done,0,2021-12-27,2021-12-30,2022-01-10,33010,1,1,2,6,53,53,3,12,12,1,2022,1,1,1,14,11,2,1,0,0,79%
33572,Bug,Done,0,2021-12-27,2022-01-20,2022-03-10,33010,1,3,6,9,53,4,11,12,1,3,2022,1,5,3,73,49,10,7,2,2,67%
33573,Bug,Done,0,2021-12-27,2022-01-20,2022-03-10,33008,1,3,6,9,53,4,11,12,1,3,2022,1,5,3,73,49,10,7,2,2,67%
33575,Bug,Approved,0,2021-12-28,,,0,1,-1,-1,-1,53,-1,-1,12,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-100%
33595,Bug,Done,1,2021-12-31,,2022-12-02,39337,1,-1,25,10,53,-1,49,12,-1,12,2022,1,24,-1,336,-1,48,-1,11,-1,-100%
